line_code,source,target,distance_miles
LN101,10769,7044,0.0
LN101,7044,6522,0.0
LN101,6522,10355,0.0
LN101,10355,4235,0.0
LN101,4235,9090,0.0
LN101,9090,9091,0.0
LN101,9091,8499,0.0
LN101,8499,4297,0.0
LN101,4297,4004,0.0
LN101,4004,4002,0.0
LN101,4002,4007,0.0
LN101,4007,1967,0.0
LN101,1967,6536,0.0
LN101,6536,10763,0.0
LN101,10763,11034,0.0
LN101,11034,6817,0.0
LN101,6817,2342,0.0
LN101,2342,7828,0.0
LN101,7828,7827,0.0
LN101,7827,11035,0.0
LN101,11035,7829,0.0
LN101,7829,470,0.0
LN101,470,7540,0.0
LN101,7540,2793,0.0
LN101,2793,2771,0.0
LN101,2771,2798,0.0
LN101,2798,2806,0.0
LN101,2806,2816,0.0
LN101,2816,2762,0.0
LN101,2762,2782,0.0
LN101,2782,2761,0.0
LN101,2761,2773,0.0
LN101,2773,2774,0.0
LN101,2774,10572,0.0
LN101,10572,2756,0.0
LN101,2756,2825,0.0
LN101,2825,2796,0.0
LN101,2796,298,0.0
LN101,298,8226,0.0
LN101,8226,7028,0.0
LN101,7028,12151,0.0
LN101,12151,12201,0.0
LN101,12201,12152,0.0
LN101,12152,12153,0.0
LN101,12153,11907,0.0
LN101,11907,10094,0.0
LN101,10094,5161,0.0
LN101,5161,5681,0.0
LN101,5681,10700,0.0
LN101,10700,4331,0.0
LN101,4331,4332,0.0
LN101,4332,11906,0.0
LN101,11906,11909,0.0
LN101,11909,12094,0.0
LN101,12094,12095,0.0
LN101,12095,12096,0.0
LN101,12096,3496,0.0
LN101,3496,12097,0.0
LN101,12097,12098,0.0
LN101,12098,12099,0.0
LN101,12099,12100,0.0
LN101,12100,12101,0.0
LN101,12101,12102,0.0
LN101,12102,11908,0.0
LN101,11908,12104,0.0
LN101,12104,4612,0.0
LN101,4612,11688,0.0
LN101,11688,11678,0.0
LN101,11678,11679,0.0
LN101,11679,12214,0.0
LN101,12214,10172,0.0
LN101,10172,10173,0.0
LN101,10173,11290,0.0
LN101,11290,12272,0.0
LN105,6359,6875,0.0
LN105,6875,3254,0.0
LN105,3254,4298,0.0
LN105,4298,2927,0.0
LN105,2927,3490,0.0
LN105,3490,12091,0.0
LN105,12091,12092,0.0
LN105,12092,12093,0.0
LN110,2047,4299,0.0
LN110,4299,3490,0.0
LN110,3490,12090,0.0
LN115,5179,10570,0.0
LN115,10570,2015,0.0
LN115,2015,2011,0.0
LN120,11030,921,0.0
LN120,921,1045,0.0
LN120,1045,1044,0.0
LN120,1044,6978,0.0
LN120,6978,10214,0.0
LN120,10214,3939,0.0
LN120,3939,3207,0.0
LN120,3207,3838,0.0
LN120,3838,2311,0.0
LN120,2311,2456,0.0
LN120,2456,578,0.0
LN120,578,4292,0.0
LN120,4292,4293,0.0
LN120,4293,4291,0.0
LN120,4291,6246,0.0
LN120,6246,9724,0.0
LN120,9724,1060,0.0
LN120,1060,5685,0.0
LN120,5685,5684,0.0
LN120,5684,11910,0.0
LN120,11910,10734,0.0
LN125,4339,4340,0.0
LN125,4340,4328,0.0
LN125,4328,11036,0.0
LN125,11036,5769,0.0
LN125,5769,5771,0.0
LN125,5771,5770,0.0
LN125,5770,5772,0.0
LN125,5772,486,0.0
LN125,486,380,0.0
LN125,380,7790,0.0
LN125,7790,12084,0.0
LN125,12084,12085,0.0
LN125,12085,12086,0.0
LN125,12086,12087,0.0
LN125,12087,12088,0.0
LN125,12088,12089,0.0
LN125,12089,4330,0.0
LN125,4330,10702,0.0
LN135,5079,7026,0.0
LN135,7026,11033,0.0
LN135,11033,7018,0.0
LN147,4235,8614,0.0
LN150,11037,11038,0.0
LN150,11038,2784,0.0
LN150,2784,2781,0.0
LN150,2781,2802,0.0
LN150,2802,2782,0.0
LN155,11037,2793,0.0
LN160,2793,7821,0.0
LN160,7821,11038,0.0
LN165,4579,4578,0.0
LN170,10355,8543,0.0
LN170,8543,10785,0.0
LN170,10785,10784,0.0
LN170,10784,8382,0.0
LN170,8382,8381,0.0
LN170,8381,7820,0.0
LN170,7820,6441,0.0
LN170,6441,7074,0.0
LN170,7074,5535,0.0
LN170,5535,3100,0.0
LN170,3100,9955,0.0
LN170,9955,7491,0.0
LN170,7491,7977,0.0
LN170,7977,3652,0.0
LN170,3652,3657,0.0
LN170,3657,644,0.0
LN170,644,699,0.0
LN170,699,11037,0.0
LN170,11037,11755,0.0
LN170,11755,9146,0.0
LN170,9146,12273,0.0
LN175,8382,8380,0.0
LN180,11039,8381,0.0
LN185,172,173,0.0
LN185,173,230,0.0
LN185,230,7549,0.0
LN185,7549,11039,0.0
LN185,11039,8379,0.0
LN185,8379,8380,0.0
