Section rank,Number of disrupted edges,Disrupted edges,Flow trains,Gauge,Trips analysed,Intact Trips,Rerouted Trips,Blocked Trips,Avg Detour (mi),Avg Delay (min)
11,8,"[((-0.2263869, 51.5256785), (-0.2243493, 51.5255041)), ((-0.2276391, 51.526072), (-0.2263869, 51.5256785)), ((-0.2243493, 51.5255041), (-0.2194208, 51.5251896)), ((-0.2291706, 51.5262129), (-0.2276391, 51.526072)), ((-0.2194208, 51.5251896), (np.float64(-0.2184178), np.float64(51.5251111))), ((-0.2344349, 51.5258148), (-0.2291706, 51.5262129)), ((-0.2363388, 51.5257611), (-0.2344349, 51.5258148)), ((-0.2402322, 51.525672), (-0.2363388, 51.5257611))]",289,Gauge 6,5211,4944 (94.9%),267 (5.1%),0 (0.0%),1.32,0.0
11,8,"[((-0.2263869, 51.5256785), (-0.2243493, 51.5255041)), ((-0.2276391, 51.526072), (-0.2263869, 51.5256785)), ((-0.2243493, 51.5255041), (-0.2194208, 51.5251896)), ((-0.2291706, 51.5262129), (-0.2276391, 51.526072)), ((-0.2194208, 51.5251896), (np.float64(-0.2184178), np.float64(51.5251111))), ((-0.2344349, 51.5258148), (-0.2291706, 51.5262129)), ((-0.2363388, 51.5257611), (-0.2344349, 51.5258148)), ((-0.2402322, 51.525672), (-0.2363388, 51.5257611))]",289,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
12,98,"[((-1.1658391, 52.3331253), (-1.165655, 52.3329817)), ((-1.1725143, 52.3383301), (-1.1658391, 52.3331253)), ((-1.165655, 52.3329817), (-1.1591324, 52.3279183)), ((-1.1984942, 52.3565501), (-1.1725143, 52.3383301)), ((-1.1591324, 52.3279183), (-1.1589336, 52.3277718)), ((-1.1996608, 52.3571099), (-1.1984942, 52.3565501)), ((-1.1589336, 52.3277718), (-1.1523667, 52.3226449)), ((-1.2066341, 52.3604993), (-1.1996608, 52.3571099)), ((-1.1523667, 52.3226449), (-1.1242668, 52.3062712)), ((-1.20705, 52.3607021), (-1.2066341, 52.3604993)), ((-1.1242668, 52.3062712), (-1.1237544, 52.3059367)), ((-1.2225268, 52.3681777), (-1.20705, 52.3607021)), ((-1.1237544, 52.3059367), (-1.1017396, 52.2841671)), ((-1.2231328, 52.3684798), (-1.2225268, 52.3681777)), ((-1.1017396, 52.2841671), (-1.1016069, 52.2840065)), ((-1.2288568, 52.3712483), (-1.2231328, 52.3684798)), ((-1.1016069, 52.2840065), (-1.0999928, 52.281382)), ((-1.0999928, 52.281382), (-1.0998656, 52.2810234)), ((-1.0998656, 52.2810234), (-1.0990684, 52.2788304)), ((-1.0990684, 52.2788304), (-1.0990053, 52.2786337)), ((-1.0990053, 52.2786337), (-1.0976147, 52.2747209)), ((-1.0976147, 52.2747209), (-1.0975251, 52.2744577)), ((-1.0975251, 52.2744577), (-1.0919416, 52.2632707)), ((-1.0919416, 52.2632707), (-1.0916745, 52.2629656)), ((-1.0916745, 52.2629656), (-1.0772229, 52.2311193)), ((-1.0772229, 52.2311193), (-1.0771178, 52.2309642)), ((-1.0771178, 52.2309642), (-1.0754121, 52.2284278)), ((-1.0754121, 52.2284278), (-1.0744954, 52.2273806)), ((-1.0744954, 52.2273806), (-1.0610822, 52.2209819)), ((-1.0610822, 52.2209819), (-1.0555169, 52.218783)), ((-1.0555169, 52.218783), (-1.0451925, 52.214687)), ((-1.0451925, 52.214687), (-1.0448045, 52.2145317)), ((-1.0448045, 52.2145317), (-1.0237059, 52.2061772)), ((-1.0237059, 52.2061772), (-1.0232108, 52.2059831)), ((-1.0232108, 52.2059831), (-1.0203511, 52.2048472)), ((-1.0203511, 52.2048472), (-1.0198791, 52.2046602)), ((-1.0198791, 52.2046602), (-1.017271, 52.2036526)), ((-1.017271, 52.2036526), (-1.0169451, 52.2035373)), ((-1.0169451, 52.2035373), (-0.9597934, 52.1903083)), ((-0.9597934, 52.1903083), (-0.9480042, 52.1853231)), ((-0.9480042, 52.1853231), (-0.9440276, 52.1836208)), ((-0.9440276, 52.1836208), (-0.9433704, 52.1833379)), ((-0.9433704, 52.1833379), (-0.9364379, 52.1808808)), ((-0.9364379, 52.1808808), (-0.9359238, 52.1807361)), ((-0.9359238, 52.1807361), (-0.908707, 52.1699881)), ((-0.908707, 52.1699881), (-0.8806015, 52.1436303)), ((-0.8806015, 52.1436303), (-0.8804064, 52.1434395)), ((-0.8804064, 52.1434395), (-0.8785135, 52.1416279)), ((-0.8785135, 52.1416279), (-0.8783587, 52.1414572)), ((-0.8783587, 52.1414572), (-0.8736205, 52.1367588)), ((-0.8736205, 52.1367588), (-0.873165, 52.136284)), ((-0.873165, 52.136284), (-0.8578129, 52.1145697)), ((-0.8578129, 52.1145697), (-0.8577196, 52.1144335)), ((-0.8577196, 52.1144335), (-0.8566117, 52.1128107)), ((-0.8566117, 52.1128107), (-0.8125662, 52.0731686)), ((-0.8125662, 52.0731686), (-0.8112481, 52.0716653)), ((-0.8112481, 52.0716653), (-0.8067194, 52.0678193)), ((-0.8067194, 52.0678193), (-0.8063073, 52.0674609)), ((-0.8063073, 52.0674609), (-0.8028783, 52.0619439)), ((-0.8028783, 52.0619439), (-0.8027668, 52.0614969)), ((-0.8027668, 52.0614969), (-0.801175, 52.0561713)), ((-0.801175, 52.0561713), (-0.8010205, 52.0558583)), ((-0.8010205, 52.0558583), (-0.7961034, 52.0504255)), ((-0.7961034, 52.0504255), (-0.795827, 52.0501729)), ((-0.795827, 52.0501729), (-0.7950698, 52.049555)), ((-0.7950698, 52.049555), (-0.7949161, 52.0494311)), ((-0.7949161, 52.0494311), (-0.7926991, 52.0477182)), ((-0.7926991, 52.0477182), (-0.7777911, 52.0363859)), ((-0.7777911, 52.0363859), (-0.7467141, 52.0125375)), ((-0.7467141, 52.0125375), (-0.7462316, 52.0121039)), ((-0.7462316, 52.0121039), (-0.7454634, 52.0113843)), ((-0.7454634, 52.0113843), (-0.7451013, 52.0110298)), ((-0.7451013, 52.0110298), (-0.743874, 52.0097524)), ((-0.743874, 52.0097524), (-0.7435233, 52.009359)), ((-0.7435233, 52.009359), (-0.7369415, 51.9973254)), ((-0.7369415, 51.9973254), (-0.7359088, 51.9940169)), ((-0.7359088, 51.9940169), (-0.7358375, 51.9937499)), ((-0.7358375, 51.9937499), (-0.7351138, 51.9912928)), ((-0.7351138, 51.9912928), (-0.7350805, 51.9911501)), ((-0.7350805, 51.9911501), (-0.7334168, 51.985795)), ((-0.7334168, 51.985795), (-0.733395, 51.9857322)), ((-0.733395, 51.9857322), (-0.7325036, 51.9829321)), ((-0.7325036, 51.9829321), (-0.7324674, 51.9828225)), ((-0.7324674, 51.9828225), (-0.6804951, 51.931966)), ((-0.6804951, 51.931966), (-0.6803858, 51.9318201)), ((-0.6803858, 51.9318201), (-0.6767479, 51.9264555)), ((-0.6767479, 51.9264555), (-0.6758, 51.9241957)), ((-0.678248, 51.9117606), (-0.6758, 51.9241957)), ((-0.6782554, 51.911637), (-0.678248, 51.9117606)), ((-0.6782554, 51.911637), (-0.6768243, 51.899508)), ((-0.6768243, 51.899508), (-0.6767624, 51.8993276)), ((-0.6767624, 51.8993276), (-0.6754684, 51.895751)), ((-0.6754684, 51.895751), (-0.6753255, 51.895361)), ((-0.6753255, 51.895361), (-0.6705594, 51.8821204)), ((-0.6705594, 51.8821204), (-0.6694807, 51.8791313)), ((-0.6694807, 51.8791313), (-0.6694478, 51.8790168)), ((-0.6694478, 51.8790168), (-0.6675995, 51.873787)), ((-0.667826, 51.8745519), (-0.6675995, 51.873787))]",284,Gauge 6,5211,4848 (93.0%),363 (7.0%),0 (0.0%),1.62,28.0
12,98,"[((-1.1658391, 52.3331253), (-1.165655, 52.3329817)), ((-1.1725143, 52.3383301), (-1.1658391, 52.3331253)), ((-1.165655, 52.3329817), (-1.1591324, 52.3279183)), ((-1.1984942, 52.3565501), (-1.1725143, 52.3383301)), ((-1.1591324, 52.3279183), (-1.1589336, 52.3277718)), ((-1.1996608, 52.3571099), (-1.1984942, 52.3565501)), ((-1.1589336, 52.3277718), (-1.1523667, 52.3226449)), ((-1.2066341, 52.3604993), (-1.1996608, 52.3571099)), ((-1.1523667, 52.3226449), (-1.1242668, 52.3062712)), ((-1.20705, 52.3607021), (-1.2066341, 52.3604993)), ((-1.1242668, 52.3062712), (-1.1237544, 52.3059367)), ((-1.2225268, 52.3681777), (-1.20705, 52.3607021)), ((-1.1237544, 52.3059367), (-1.1017396, 52.2841671)), ((-1.2231328, 52.3684798), (-1.2225268, 52.3681777)), ((-1.1017396, 52.2841671), (-1.1016069, 52.2840065)), ((-1.2288568, 52.3712483), (-1.2231328, 52.3684798)), ((-1.1016069, 52.2840065), (-1.0999928, 52.281382)), ((-1.0999928, 52.281382), (-1.0998656, 52.2810234)), ((-1.0998656, 52.2810234), (-1.0990684, 52.2788304)), ((-1.0990684, 52.2788304), (-1.0990053, 52.2786337)), ((-1.0990053, 52.2786337), (-1.0976147, 52.2747209)), ((-1.0976147, 52.2747209), (-1.0975251, 52.2744577)), ((-1.0975251, 52.2744577), (-1.0919416, 52.2632707)), ((-1.0919416, 52.2632707), (-1.0916745, 52.2629656)), ((-1.0916745, 52.2629656), (-1.0772229, 52.2311193)), ((-1.0772229, 52.2311193), (-1.0771178, 52.2309642)), ((-1.0771178, 52.2309642), (-1.0754121, 52.2284278)), ((-1.0754121, 52.2284278), (-1.0744954, 52.2273806)), ((-1.0744954, 52.2273806), (-1.0610822, 52.2209819)), ((-1.0610822, 52.2209819), (-1.0555169, 52.218783)), ((-1.0555169, 52.218783), (-1.0451925, 52.214687)), ((-1.0451925, 52.214687), (-1.0448045, 52.2145317)), ((-1.0448045, 52.2145317), (-1.0237059, 52.2061772)), ((-1.0237059, 52.2061772), (-1.0232108, 52.2059831)), ((-1.0232108, 52.2059831), (-1.0203511, 52.2048472)), ((-1.0203511, 52.2048472), (-1.0198791, 52.2046602)), ((-1.0198791, 52.2046602), (-1.017271, 52.2036526)), ((-1.017271, 52.2036526), (-1.0169451, 52.2035373)), ((-1.0169451, 52.2035373), (-0.9597934, 52.1903083)), ((-0.9597934, 52.1903083), (-0.9480042, 52.1853231)), ((-0.9480042, 52.1853231), (-0.9440276, 52.1836208)), ((-0.9440276, 52.1836208), (-0.9433704, 52.1833379)), ((-0.9433704, 52.1833379), (-0.9364379, 52.1808808)), ((-0.9364379, 52.1808808), (-0.9359238, 52.1807361)), ((-0.9359238, 52.1807361), (-0.908707, 52.1699881)), ((-0.908707, 52.1699881), (-0.8806015, 52.1436303)), ((-0.8806015, 52.1436303), (-0.8804064, 52.1434395)), ((-0.8804064, 52.1434395), (-0.8785135, 52.1416279)), ((-0.8785135, 52.1416279), (-0.8783587, 52.1414572)), ((-0.8783587, 52.1414572), (-0.8736205, 52.1367588)), ((-0.8736205, 52.1367588), (-0.873165, 52.136284)), ((-0.873165, 52.136284), (-0.8578129, 52.1145697)), ((-0.8578129, 52.1145697), (-0.8577196, 52.1144335)), ((-0.8577196, 52.1144335), (-0.8566117, 52.1128107)), ((-0.8566117, 52.1128107), (-0.8125662, 52.0731686)), ((-0.8125662, 52.0731686), (-0.8112481, 52.0716653)), ((-0.8112481, 52.0716653), (-0.8067194, 52.0678193)), ((-0.8067194, 52.0678193), (-0.8063073, 52.0674609)), ((-0.8063073, 52.0674609), (-0.8028783, 52.0619439)), ((-0.8028783, 52.0619439), (-0.8027668, 52.0614969)), ((-0.8027668, 52.0614969), (-0.801175, 52.0561713)), ((-0.801175, 52.0561713), (-0.8010205, 52.0558583)), ((-0.8010205, 52.0558583), (-0.7961034, 52.0504255)), ((-0.7961034, 52.0504255), (-0.795827, 52.0501729)), ((-0.795827, 52.0501729), (-0.7950698, 52.049555)), ((-0.7950698, 52.049555), (-0.7949161, 52.0494311)), ((-0.7949161, 52.0494311), (-0.7926991, 52.0477182)), ((-0.7926991, 52.0477182), (-0.7777911, 52.0363859)), ((-0.7777911, 52.0363859), (-0.7467141, 52.0125375)), ((-0.7467141, 52.0125375), (-0.7462316, 52.0121039)), ((-0.7462316, 52.0121039), (-0.7454634, 52.0113843)), ((-0.7454634, 52.0113843), (-0.7451013, 52.0110298)), ((-0.7451013, 52.0110298), (-0.743874, 52.0097524)), ((-0.743874, 52.0097524), (-0.7435233, 52.009359)), ((-0.7435233, 52.009359), (-0.7369415, 51.9973254)), ((-0.7369415, 51.9973254), (-0.7359088, 51.9940169)), ((-0.7359088, 51.9940169), (-0.7358375, 51.9937499)), ((-0.7358375, 51.9937499), (-0.7351138, 51.9912928)), ((-0.7351138, 51.9912928), (-0.7350805, 51.9911501)), ((-0.7350805, 51.9911501), (-0.7334168, 51.985795)), ((-0.7334168, 51.985795), (-0.733395, 51.9857322)), ((-0.733395, 51.9857322), (-0.7325036, 51.9829321)), ((-0.7325036, 51.9829321), (-0.7324674, 51.9828225)), ((-0.7324674, 51.9828225), (-0.6804951, 51.931966)), ((-0.6804951, 51.931966), (-0.6803858, 51.9318201)), ((-0.6803858, 51.9318201), (-0.6767479, 51.9264555)), ((-0.6767479, 51.9264555), (-0.6758, 51.9241957)), ((-0.678248, 51.9117606), (-0.6758, 51.9241957)), ((-0.6782554, 51.911637), (-0.678248, 51.9117606)), ((-0.6782554, 51.911637), (-0.6768243, 51.899508)), ((-0.6768243, 51.899508), (-0.6767624, 51.8993276)), ((-0.6767624, 51.8993276), (-0.6754684, 51.895751)), ((-0.6754684, 51.895751), (-0.6753255, 51.895361)), ((-0.6753255, 51.895361), (-0.6705594, 51.8821204)), ((-0.6705594, 51.8821204), (-0.6694807, 51.8791313)), ((-0.6694807, 51.8791313), (-0.6694478, 51.8790168)), ((-0.6694478, 51.8790168), (-0.6675995, 51.873787)), ((-0.667826, 51.8745519), (-0.6675995, 51.873787))]",284,Gauge 10,864,863 (99.9%),1 (0.1%),0 (0.0%),0.00,28.0
13,1,"[((np.float64(-0.2184178), np.float64(51.5251111)), (-0.0255654, 51.5611339))]",277,Gauge 6,5211,4738 (90.9%),473 (9.1%),0 (0.0%),0.85,4.9
13,1,"[((np.float64(-0.2184178), np.float64(51.5251111)), (-0.0255654, 51.5611339))]",277,Gauge 10,864,864 (100.0%),0 (0.0%),0 (0.0%),0,0
14,2,"[((-1.4630896, 52.5257771), (-1.4588948, 52.5230209)), ((-1.4588948, 52.5230209), (-1.4575505, 52.5220271))]",275,Gauge 6,5211,4747 (91.1%),464 (8.9%),0 (0.0%),6.43,20.7
14,2,"[((-1.4630896, 52.5257771), (-1.4588948, 52.5230209)), ((-1.4588948, 52.5230209), (-1.4575505, 52.5220271))]",275,Gauge 10,864,765 (88.5%),99 (11.5%),0 (0.0%),8.40,23.1
15,20,"[((-1.134765, 51.5470392), (-1.1347216, 51.5469405)), ((-1.1420557, 51.5577623), (-1.134765, 51.5470392)), ((-1.1347216, 51.5469405), (-1.1340167, 51.5450587)), ((-1.1432259, 51.5589204), (-1.1420557, 51.5577623)), ((-1.1340167, 51.5450587), (-1.1339875, 51.5449726)), ((-1.1573905, 51.5695218), (-1.1432259, 51.5589204)), ((-1.1339875, 51.5449726), (-1.1337985, 51.5292373)), ((-1.1575139, 51.5696226), (-1.1573905, 51.5695218)), ((-1.1338215, 51.5290798), (-1.1337985, 51.5292373)), ((-1.1582151, 51.5701313), (-1.1575139, 51.5696226)), ((-1.1338215, 51.5290798), (-1.1298746, 51.5143095)), ((-1.1298746, 51.5143095), (-1.1298184, 51.5142269)), ((-1.1298184, 51.5142269), (-1.1281762, 51.5120651)), ((-1.1281762, 51.5120651), (-1.1275356, 51.5113077)), ((-1.1275356, 51.5113077), (-1.0890998, 51.4851264)), ((-1.0890998, 51.4851264), (-1.0888121, 51.4850796)), ((-1.0888121, 51.4850796), (-1.0863482, 51.4847454)), ((-1.0863482, 51.4847454), (-1.0861675, 51.4847265)), ((-1.0861675, 51.4847265), (-1.0290028, 51.4713729)), ((-1.0290028, 51.4713729), (-1.024436, 51.4690606))]",268,Gauge 6,5211,5204 (99.9%),7 (0.1%),0 (0.0%),2.15,3.3
15,20,"[((-1.134765, 51.5470392), (-1.1347216, 51.5469405)), ((-1.1420557, 51.5577623), (-1.134765, 51.5470392)), ((-1.1347216, 51.5469405), (-1.1340167, 51.5450587)), ((-1.1432259, 51.5589204), (-1.1420557, 51.5577623)), ((-1.1340167, 51.5450587), (-1.1339875, 51.5449726)), ((-1.1573905, 51.5695218), (-1.1432259, 51.5589204)), ((-1.1339875, 51.5449726), (-1.1337985, 51.5292373)), ((-1.1575139, 51.5696226), (-1.1573905, 51.5695218)), ((-1.1338215, 51.5290798), (-1.1337985, 51.5292373)), ((-1.1582151, 51.5701313), (-1.1575139, 51.5696226)), ((-1.1338215, 51.5290798), (-1.1298746, 51.5143095)), ((-1.1298746, 51.5143095), (-1.1298184, 51.5142269)), ((-1.1298184, 51.5142269), (-1.1281762, 51.5120651)), ((-1.1281762, 51.5120651), (-1.1275356, 51.5113077)), ((-1.1275356, 51.5113077), (-1.0890998, 51.4851264)), ((-1.0890998, 51.4851264), (-1.0888121, 51.4850796)), ((-1.0888121, 51.4850796), (-1.0863482, 51.4847454)), ((-1.0863482, 51.4847454), (-1.0861675, 51.4847265)), ((-1.0861675, 51.4847265), (-1.0290028, 51.4713729)), ((-1.0290028, 51.4713729), (-1.024436, 51.4690606))]",268,Gauge 10,864,854 (98.8%),10 (1.2%),0 (0.0%),0.07,1.0
16,2,"[((-2.2164961, 53.4724694), (-2.216012, 53.4722695)), ((-2.216012, 53.4722695), (-2.215172, 53.4718723))]",267,Gauge 6,5211,4937 (94.7%),274 (5.3%),0 (0.0%),0.31,1.6
16,2,"[((-2.2164961, 53.4724694), (-2.216012, 53.4722695)), ((-2.216012, 53.4722695), (-2.215172, 53.4718723))]",267,Gauge 10,864,831 (96.2%),33 (3.8%),0 (0.0%),0.47,5.2
17,4,"[((-1.2192928, 51.6035783), (-1.183443, 51.5889949)), ((-1.2209565, 51.6041293), (-1.2192928, 51.6035783)), ((-1.183443, 51.5889949), (-1.1833166, 51.5889161)), ((-1.1833166, 51.5889161), (-1.1582151, 51.5701313))]",266,Gauge 6,5211,5206 (99.9%),5 (0.1%),0 (0.0%),0.07,1.0
17,4,"[((-1.2192928, 51.6035783), (-1.183443, 51.5889949)), ((-1.2209565, 51.6041293), (-1.2192928, 51.6035783)), ((-1.183443, 51.5889949), (-1.1833166, 51.5889161)), ((-1.1833166, 51.5889161), (-1.1582151, 51.5701313))]",266,Gauge 10,864,854 (98.8%),10 (1.2%),0 (0.0%),0.07,1.0
18,73,"[((-1.2951081, 51.1257402), (-1.2902212, 51.1338308)), ((-1.2902212, 51.1338308), (-1.2893173, 51.1353924)), ((-1.2973815, 51.1219388), (-1.2951081, 51.1257402)), ((-1.2893173, 51.1353924), (-1.2892744, 51.1354672)), ((-1.3003425, 51.1168712), (-1.2973815, 51.1219388)), ((-1.2892744, 51.1354672), (-1.2863154, 51.1405194)), ((-1.3097514, 51.1008626), (-1.3003425, 51.1168712)), ((-1.2863154, 51.1405194), (-1.2862434, 51.1406427)), ((-1.3098542, 51.1005628), (-1.3097514, 51.1008626)), ((-1.2862434, 51.1406427), (-1.2827612, 51.1465411)), ((-1.3118452, 51.094358), (-1.3098542, 51.1005628)), ((-1.2827612, 51.1465411), (-1.2826512, 51.1467348)), ((-1.3119756, 51.0939198), (-1.3118452, 51.094358)), ((-1.2826512, 51.1467348), (-1.2792978, 51.1523384)), ((-1.312627, 51.0917484), (-1.3119756, 51.0939198)), ((-1.2792978, 51.1523384), (-1.2792558, 51.1524084)), ((-1.3126574, 51.0916467), (-1.312627, 51.0917484)), ((-1.2792558, 51.1524084), (-1.2603064, 51.1861078)), ((-1.3143735, 51.0858978), (-1.3126574, 51.0916467)), ((-1.2603064, 51.1861078), (-1.2597666, 51.1899516)), ((-1.314403, 51.0857975), (-1.3143735, 51.0858978)), ((-1.2597666, 51.1899516), (-1.2593578, 51.1914003)), ((-1.314503, 51.08541), (-1.314403, 51.0857975)), ((-1.2593578, 51.1914003), (-1.2590539, 51.1926281)), ((-1.31503, 51.0834608), (-1.314503, 51.08541)), ((-1.2590539, 51.1926281), (-1.2585617, 51.1947845)), ((-1.3163746, 51.0790419), (-1.31503, 51.0834608)), ((-1.2585617, 51.1947845), (-1.2534808, 51.2061086)), ((-1.3163971, 51.078956), (-1.3163746, 51.0790419)), ((-1.2534808, 51.2061086), (-1.2507405, 51.2088603)), ((-1.3169278, 51.0771134), (-1.3163971, 51.078956)), ((-1.2507405, 51.2088603), (-1.2462268, 51.2129813)), ((-1.3190902, 51.0700979), (-1.3169278, 51.0771134)), ((-1.2462268, 51.2129813), (-1.2448696, 51.2142542)), ((-1.3201163, 51.0668916), (-1.3190902, 51.0700979)), ((-1.2448696, 51.2142542), (-1.2386948, 51.2198025)), ((-1.2386948, 51.2198025), (-1.2333575, 51.2244556)), ((-1.2333575, 51.2244556), (-1.2331081, 51.2246488)), ((-1.2331081, 51.2246488), (-1.2261012, 51.2287745)), ((-1.2261012, 51.2287745), (-1.2260192, 51.228811)), ((-1.2260192, 51.228811), (-1.218051, 51.2316711)), ((-1.218051, 51.2316711), (-1.2178422, 51.2317315)), ((-1.2178422, 51.2317315), (-1.2156432, 51.232352)), ((-1.2156432, 51.232352), (-1.2063017, 51.2350356)), ((-1.2063017, 51.2350356), (-1.2016553, 51.2363812)), ((-1.2016553, 51.2363812), (-1.2014429, 51.2364458)), ((-1.2014429, 51.2364458), (-1.1994698, 51.2370209)), ((-1.1994698, 51.2370209), (-1.1914789, 51.2393091)), ((-1.1914789, 51.2393091), (-1.1864824, 51.2407397)), ((-1.1864824, 51.2407397), (-1.1862678, 51.2408009)), ((-1.1862678, 51.2408009), (-1.1840896, 51.2414322)), ((-1.1840896, 51.2414322), (-1.1574116, 51.2523281)), ((-1.1574116, 51.2523281), (-1.1543809, 51.253623)), ((-1.1543809, 51.253623), (-1.1537447, 51.2539008)), ((-1.1537447, 51.2539008), (-1.1536364, 51.2539498)), ((-1.1536364, 51.2539498), (-1.1470336, 51.2569323)), ((-1.1470336, 51.2569323), (-1.1389089, 51.2605571)), ((-1.1389089, 51.2605571), (-1.1356352, 51.2620167)), ((-1.1356352, 51.2620167), (-1.1353489, 51.2621404)), ((-1.1353489, 51.2621404), (-1.1349014, 51.2623459)), ((-1.1349014, 51.2623459), (-1.1347497, 51.2624049)), ((-1.1347497, 51.2624049), (-1.1231792, 51.2657317)), ((-1.1231792, 51.2657317), (-1.1230554, 51.2657553)), ((-1.1230554, 51.2657553), (-1.112947, 51.2669352)), ((-1.112947, 51.2669352), (-1.1128181, 51.2669426)), ((-1.1128181, 51.2669426), (-1.1096699, 51.2671222)), ((-1.1096699, 51.2671222), (-1.1088211, 51.2671758)), ((-1.1088211, 51.2671758), (-1.106988, 51.2672891)), ((-1.106988, 51.2672891), (-1.1067581, 51.267304)), ((-1.1067581, 51.267304), (-1.1059397, 51.2673554)), ((-1.1059397, 51.2673554), (-1.1001119, 51.267721)), ((-1.1001119, 51.267721), (-1.0938121, 51.2681057)), ((-1.0938121, 51.2681057), (-1.0921635, 51.2681657))]",265,Gauge 6,5211,5100 (97.9%),111 (2.1%),0 (0.0%),7.52,44.5
